course_code,lang,section,semester,prof_name,course_name,credits,exam_form,workload,type,keywords,available_programs,course_url
AR-200,french,AR,winter,Dubey Jacques,Public law for architects,2,Written,2hrs/week,mandatory,"['développement durable', 'sources de droit', 'procédure de planification', 'autorisation de construire', 'droit de recours']",['Architecture BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4515734913&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-201(aa),french,AR,winter,Blanc Alexandre,Studio BA3 (Blanc A.),20,During the semester,6hrs/week,mandatory,[],['Architecture BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4524600346&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-201(an),,AR,winter,"Rodet Dries, Truwant Charlotte Cornélie",Studio BA3 (Truwant et Rodet),20,During the semester,6hrs/week,mandatory,"['living', 'housing', 'renovation', 'transformation', 'reuse', 'model', 'fragment', 'preservation', 'hybridity', 'construction', 'renens', 'zürich', 'milieu']",['Architecture BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3951501519&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-201(bc),english,AR,winter,"Peris Eugenio Marta, Toral Fernandez Jose Manuel",Studio BA3 (Peris et Toral),20,During the semester,6hrs/week,mandatory,"['housing', 'servant and served spaces cohabitation', 'atmosphere', 'urban scale', 'human scale', 'inhabit', 'intermediate spaces', 'de-hierarchization', 'inclusion', 'shared spaces', 'inhabited façades', 'poché', 'matrix rooms', 'central cores', 'inhabited boxes']",['Architecture BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4524856071&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-201(g),french,AR,winter,Rey Emmanuel,Studio BA3 (Rey),20,During the semester,6hrs/week,mandatory,"['projet architectural', 'transition', 'décarbonation', 'durabilité', 'densification urbaine', 'régénération urbaine', 'quartier en transition']",['Architecture BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=414851646&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-201(m),english,AR,winter,Taillieu Jo François,Studio BA3 (Taillieu),20,During the semester,6hrs/week,mandatory,[],['Architecture BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2218085374&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-201(q),english,AR,winter,"Perkins Amy Faith, Binning James Donald Morley",Studio BA3 (Assemble),20,During the semester,6hrs/week,mandatory,[],['Architecture BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3193637351&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-201(r),,AR,winter,"Gay Menzel Catherine Odile, Menzel Götz",Studio BA3 (Gay et Menzel),20,During the semester,6hrs/week,mandatory,"['légendes urbaines', 'imaginaire contextuel', 'narration', 'transposition', 'relevé sensible', 'double exposition', 'encorbellements', 'logement', 'londres', 'lausanne', 'évocation', 'construction de sens', 'reconnexion', 'collectivité', 'transformation', 'nouvelle construction', 'langage architectural', 'écologie', 'durabilité', 'film', 'maquette', 'mots']",['Architecture BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3223895693&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-202(aa),french,AR,summer,Blanc Alexandre,Studio BA3 (Blanc A.),20,During the semester,6hrs/week,mandatory,[],['Architecture BA4'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4524817526&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
AR-202(an),,AR,summer,"Rodet Dries, Truwant Charlotte Cornélie",Studio BA4 (Truwant et Rodet),20,During the semester,6hrs/week,mandatory,"['education', 'school', 'time as material', 'landscape', 'ecology', 'transformation', 'reuse', 'model', 'fragment', 'movies', 'preservation', 'hybridity', 'construction', 'barcelona', 'iconology', 'fiction']",['Architecture BA4'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3951585739&ww_x_anneeacad=2840683608&ww_i_section=942293&ww_i_niveau=6683117&ww_c_langue=en
